Post_Date,Post_Time,Customer_Name,type_hire,festival,Wanted_Shop,Wanted_District,Wanted_Table_Date,Date_of_week,Wanted_Zone,Wanted_Count,Count_Specified,Raw_Message
2023-07-22,20:02,นักนั่งโต๊ะ,จ้างเฝ้าโต๊ะ,วันปกติ,Bennington,หลังมอ,2023-07-22,เสาร์,,1,False,หาคนนั่งเบนค่ะ
2023-07-27,18:11,…..,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-07-27,พฤหัสบดี,,1,False,หาโต๊ะรีเพ สองโต๊ะงับ
2023-07-27,18:40,จัสมิน,จ้างเฝ้าโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-07-27,พฤหัสบดี,,1,False,หาคนนั่งรีเพลครึ่งชม
2023-07-28,18:33,แมวง๊าว,จ้างเฝ้าโต๊ะ,วันปกติ,Bennington,หลังมอ,2023-07-28,ศุกร์,,1,False,มีคนรับนั่งโต๊ะเบนไหมงับ
2023-07-28,19:32,明,จ้างเฝ้าโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-07-28,ศุกร์,,1,False,หาคนนั่งรีเพลให้ค่า
2023-07-28,19:36,Ft,จ้างเฝ้าโต๊ะ,วันปกติ,Hashtags (#),หลังมอ,2023-07-28,ศุกร์,,1,False,หาคนนั่ง#ค่ะ
2023-07-29,17:56,แมวง๊าว,หาโต๊ะ,วันปกติ,Rusty,ในเมือง,2023-07-29,เสาร์,,1,False,หาโต๊ะ rustyค่ะ
2023-07-30,17:11,Te,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-07-30,อาทิตย์,,1,False,หาโต๊ะรีเพลครับ
2023-07-30,19:48,Bzxas,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-07-30,อาทิตย์,,1,False,"""หาโต้ะReplaygroundครับ ตอนนี้ ID:0658899656"""
2023-08-04,15:50,———,หาโต๊ะ,วันปกติ,Bennington,หลังมอ,2023-08-04,ศุกร์,,1,False,หาโต๊ะเบนนิงตันค่ะ
2023-08-04,17:09,โบว์,หาโต๊ะ,วันปกติ,Hashtags (#),หลังมอ,2023-08-04,ศุกร์,,1,False,หาโต๊ะแฮชโซนกลางค่ะ
2023-08-04,17:53,จัสมิน,จ้างเฝ้าโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-08-04,ศุกร์,,1,False,หาคนนั่งรีเพล
